"IDACTIVO","NUMEROETIQUETA",ESTADO,"VALORUNITARIO","FECHAADQUISICION",CATEGORIA,"DESCRIPCIONCATEGORIA",MARCA,PLACAS,"NÚMEROMOTOR",SERIE,MODELO,COLOR,"DESCRIPCIONBIEN","IDDEPENDENCIA",DEPENDENCIA
32525,201632525,ALTA,176149.98,11/15/16,541,Vehículos y equipo terrestre,VOLKSWAGEN,.,30912481,3VWMN82T69M920182,2009,BLANCO,CAMION RECOLECTOR,4414,DIRECCION DE ASEO Y LIMPIA
32526,201632526,ALTA,176149.98,11/15/16,541,Vehículos y equipo terrestre,VOLKSWAGEN,.,36042800,3VWMN82T69M920179,2009,BLANCO,CAMION RECOLECTOR,2104,UNIDAD DE BIENES MUNICIPALES
32530,201632530,ALTA,176149.98,11/15/16,541,Vehículos y equipo terrestre,VOLKSWAGEN,.,36041251,3VWMN82T49M920178,2009,BLANCO,CAMION RECOLECTOR,4414,DIRECCION DE ASEO Y LIMPIA
32532,201632532,ALTA,176149.98,11/15/16,541,Vehículos y equipo terrestre,VOLKSWAGEN,.,36043849,3VWMN82T29M920194,2009,BLANCO,CAMION RECOLECTOR,4414,DIRECCION DE ASEO Y LIMPIA
32534,201632534,ALTA,195425.3,11/15/16,541,Vehículos y equipo terrestre,FREIGHTLINER,.,90291000771715,3ALACYCS6ADAN8282,2009,BLANCO,CAMION RECOLECTOR,4414,DIRECCION DE ASEO Y LIMPIA
32535,201632535,ALTA,195425.3,11/15/16,541,Vehículos y equipo terrestre,FREIGHTLINER,.,90291000771691,3ALACYCS8ADAN8283,2010,BLANCO,CAMION RECOLECTOR,2104,UNIDAD DE BIENES MUNICIPALES
32537,201632537,ALTA,195425.3,11/15/16,541,Vehículos y equipo terrestre,FREIGHTLINER,.,90291000775899,3ALACYCS3ADAN8286,2010,BLANCO,CAMION RECOLECTOR,4414,DIRECCION DE ASEO Y LIMPIA
32539,201632539,ALTA,195425.3,11/15/16,541,Vehículos y equipo terrestre,FREIGHTLINER,.,90291000775752,3ALACYCS5ADAN8287,2010,BLANCO,CAMION RECOLECTOR,4414,DIRECCION DE ASEO Y LIMPIA
32541,201632541,ALTA,195425.3,11/15/16,541,Vehículos y equipo terrestre,FREIGHTLINER,.,90291000777790,3ALACYCS5ADAN8290,2010,BLANCO,CAMION RECOLECTOR,4414,DIRECCION DE ASEO Y LIMPIA
32543,201632543,ALTA,195425.2,11/15/16,541,Vehículos y equipo terrestre,FREIGHTLINER,.,90291000775786,3ALACYCS7ADAN8291,2010,BLANCO,CAMION RECOLECTOR,2104,UNIDAD DE BIENES MUNICIPALES
32545,201632545,ALTA,195425.2,11/15/16,541,Vehículos y equipo terrestre,FREIGHTLINER,.,90091000776593,3ALACYCS7ADAN8288,2010,BLANCO,CAMION RECOLECTOR,4414,DIRECCION DE ASEO Y LIMPIA
32547,201632547,ALTA,195425.2,11/15/16,541,Vehículos y equipo terrestre,FREIGHTLINER,.,90291000789947,3ALACYCS4ADAN8295,2010,BLANCO,CAMION RECOLECTOR,4414,DIRECCION DE ASEO Y LIMPIA
32946,201732946,ALTA,44620.28,2/7/17,541,Vehículos y equipo terrestre,NISSAN,-,QR25027751H,3N6AD33AXGK808757,2016,,PICK UP NP 300 DOBLE CABINA,3112,SUBDIRECCION OPERATIVA
32946,201732946,ALTA,44620.28,2/7/17,541,Vehículos y equipo terrestre,NISSAN,-,QR25027751H,3N6AD33AXGK808757,2016,,PICK UP NP 300 DOBLE CABINA,3112,SUBDIRECCION OPERATIVA
32947,201732947,ALTA,44620.28,2/7/17,541,Vehículos y equipo terrestre,NISSAN,-,QR25027761H,3N6AD33A7GK807792,2016,,PICK UP NP 300 DOBLE CABINA,3112,SUBDIRECCION OPERATIVA
32947,201732947,ALTA,44620.28,2/7/17,541,Vehículos y equipo terrestre,NISSAN,-,QR25027761H,3N6AD33A7GK807792,2016,,PICK UP NP 300 DOBLE CABINA,3112,SUBDIRECCION OPERATIVA
32948,201732948,ALTA,44620.28,2/7/17,541,Vehículos y equipo terrestre,NISSAN,-,QR25028791H,3N6AD33A7GK808814,2016,,PICK UP NP 300 DOBLE CABINA,3112,SUBDIRECCION OPERATIVA
32948,201732948,ALTA,44620.28,2/7/17,541,Vehículos y equipo terrestre,NISSAN,-,QR25028791H,3N6AD33A7GK808814,2016,,PICK UP NP 300 DOBLE CABINA,3112,SUBDIRECCION OPERATIVA
32949,201732949,ALTA,44620.28,2/7/17,541,Vehículos y equipo terrestre,NISSAN,-,QR25027486H,3N6AD33A3GK808521,2016,,PICK UP NP 300 DOBLE CABINA,3112,SUBDIRECCION OPERATIVA
32949,201732949,ALTA,44620.28,2/7/17,541,Vehículos y equipo terrestre,NISSAN,-,QR25027486H,3N6AD33A3GK808521,2016,,PICK UP NP 300 DOBLE CABINA,3112,SUBDIRECCION OPERATIVA
32950,201732950,ALTA,44620.28,2/7/17,541,Vehículos y equipo terrestre,NISSAN,-,QR25028912H,3N6AD33A3GK808132,2016,,PICK UP NP 300 DOBLE CABINA,3112,SUBDIRECCION OPERATIVA
32950,201732950,ALTA,44620.28,2/7/17,541,Vehículos y equipo terrestre,NISSAN,-,QR25028912H,3N6AD33A3GK808132,2016,,PICK UP NP 300 DOBLE CABINA,3112,SUBDIRECCION OPERATIVA
32951,201732951,ALTA,44620.28,2/7/17,541,Vehículos y equipo terrestre,NISSAN,-,QR25028851H,3N6AD33A6GK808870,2016,,PICK UP NP 300 DOBLE CABINA,3112,SUBDIRECCION OPERATIVA
32951,201732951,ALTA,44620.28,2/7/17,541,Vehículos y equipo terrestre,NISSAN,-,QR25028851H,3N6AD33A6GK808870,2016,,PICK UP NP 300 DOBLE CABINA,3112,SUBDIRECCION OPERATIVA
32952,201732952,ALTA,44620.28,2/7/17,541,Vehículos y equipo terrestre,NISSAN,-,QR25030065H,3N6AD33A7GK809980,2016,,PICK UP NP 300 DOBLE CABINA,3112,SUBDIRECCION OPERATIVA
32952,201732952,ALTA,44620.28,2/7/17,541,Vehículos y equipo terrestre,NISSAN,-,QR25030065H,3N6AD33A7GK809980,2016,,PICK UP NP 300 DOBLE CABINA,3112,SUBDIRECCION OPERATIVA
32953,201732953,ALTA,44620.28,2/7/17,541,Vehículos y equipo terrestre,NISSAN,-,QR25029405H,3N6AD33A9GK808443,2016,,PICK UP NP 300 DOBLE CABINA,3112,SUBDIRECCION OPERATIVA
32953,201732953,ALTA,44620.28,2/7/17,541,Vehículos y equipo terrestre,NISSAN,-,QR25029405H,3N6AD33A9GK808443,2016,,PICK UP NP 300 DOBLE CABINA,3112,SUBDIRECCION OPERATIVA
32954,201732954,ALTA,33701.08,2/7/17,541,Vehículos y equipo terrestre,NISSAN,-,QR25031001H,3N6AD33A5GK811825,2016,,PICK UP NP 300 DOBLE CABINA,4125,DEPTO. DE DESARROLLO RURAL
32955,201732955,ALTA,33701.08,2/7/17,541,Vehículos y equipo terrestre,NISSAN,-,QR25032335H,3N6AD33A8GK814038,2016,,PICK UP NP 300 DOBLE CABINA,1511,UNIDAD DE AUDITORIA Y CONTROL
32956,201732956,ALTA,33701.08,2/7/17,541,Vehículos y equipo terrestre,NISSAN,-,QR25031554H,3N6AD33A7GK813950,2016,,PICK UP NP 300 DOBLE CABINA,4430,"DIRECCION DE PARQUES, JARDINES Y PANTEONES"
32957,201732957,ALTA,33701.08,2/7/17,541,Vehículos y equipo terrestre,NISSAN,-,QR25031398H,3N6AD33A7GK811759,2016,,PICK UP NP 300 DOBL CABINA,4521,U DE CONSERVACION Y MANTENIMIENTO DE INFRAESTRUCTURA MPAL
32958,201732958,ALTA,33701.08,2/7/17,541,Vehículos y equipo terrestre,NISSAN,-,QR25032134H,3N6AD33A7GK813978,2016,,PICK UP NP 300 DOBLE CABINA,1210,SECRETARIA DE LA PRESIDENCIA
32959,201732959,ALTA,33701.08,2/7/17,541,Vehículos y equipo terrestre,NISSAN,-,QR25031552H,3N6AD33A5GK813929,2016,,PICK UP NP 300 DOBLE CABINA,1519,DIRECCION DE CONTRALORIA INTERNA
32960,201732960,ALTA,33701.08,2/7/17,541,Vehículos y equipo terrestre,NISSAN,-,QR25032349H,3N6AD33A0GK814079,2016,,PICK UP NP 300 DOBLE CABINA,1539,DIRECCION DE CONTRALORIA SOCIAL
