"id_dependencia","dependencia","titular"
"1","Aseo, Limpia y Lotes Baldios","Raul Aaron Ramos Russel"
"2","Parques, Jardines y Panteones","Leonel Duarte Echavarria"
"3","Alumbrado Publico","Santiago Garcia Cruz"
"4","Obras Publicas","Cesar Sánchez Montoya"
"5","Unidad de Drenajes Pluviales","Carlos Jonathan Gonzalez Inda"
"6","Desarrollo Urbano y Ecología","Jose Pastor Castañeda Verduzco"
"7","Departamento de Riego y Viveros","Carlos Alfredo Alarid Rodriguez"
"8","Departamento de Mercados y Comercios en la vía publica","Arturo Vazquez Carrillo"
"9","Presidencia","Sergio Torres Felix"
"10","Seguridad Publica y Transito Municipal","Oscar Guinto Marmolejo"
"13","Inspeccion y Vigilancia","Saul Piña Loaiza"
"14","Seguridad Publica","Rodrigo Manjarrez Felix"
