"id_reporte","id_servicio","id_tipo_servicio","reporte","calle","numero","id_colonia","codigo_postal","latitud","longitud","prioridad","status","creado"
"41229","1","2","ciudadana reporta una lampara que prende y apaga por la calle topacio  uno entre las calles topacio dos y rep. de brasil, col. stase","topacio uno","2961",NULL,"80022","24.806632","-107.394393","NORMAL","ASIGNADO","2017-01-02 08:41:17"
"41230","9","39","se reporta  un carro abandonado desde hace 20 dias y esta ponchado,  es una ford ranger color rojo, acumulando basura e inconcormidad en todos los vecinos, y piden se retire de inmediato, col. emiliano zapata.","anenecuilco",,NULL,"80260","24.7904754","-107.36751670000001","NORMAL","ASIGNADO","2017-01-02 09:16:07"
"41231","7","32","ciudadana solicita la limpieza general de parque ubicado en blvd. vinoramas entre atenas y lidia, en el fracc. urbi villas del roble.","blvd. vinoramas","4975",NULL,"80184","24.7471883","-107.431423","NORMAL","ASIGNADO","2017-01-02 09:30:25"
"41232","3","14","ciudadana solicita la reparacion de varios baches (calle en muy mal estado), ubicados en blvd. vinoramas esq. con calle atenas, en el fracc. urbi villas del roble.","blvd. vinoramas","4975",NULL,"80184","24.7471883","-107.431423","NORMAL","ASIGNADO","2017-01-02 09:33:46"
"41233","3","15","ciudadana solicita el arreglo del arroyo  (que se rellene), ya que se comio la banqueta de este domicilio en el tiempo de lluvias, afectando para la entrada a casa, por la calle mina cerro de la bufa # 1916, entre las calles 21 de marzo y diaz ordaz, esta ya se habia reportado el 30/102016, con el # de reporte 25310, col. emiliano zapata","mina cerro de la bufa","1916",NULL,"80296","24.7601606","-107.3748516","NORMAL","ASIGNADO","2017-01-02 09:36:14"
"41234","1","2","ciudadano reporta una lampara apagada por la calle buganbilioa  entre las calles av. patria y av. hortencia, col. margarita","bugambilia","1448",NULL,"80197","24.7832924","-107.37369669999998","NORMAL","ASIGNADO","2017-01-02 09:42:29"
"41235","1","3","ciudadano solicita la reparacion de arbotante ubicado en calle amapas 1955 entre blvd sabinos y sauces col la campiña","amapas","1955",NULL,,"24.8166273","-107.362618","NORMAL","ASIGNADO","2017-01-02 10:02:55"
"41236","1","2","ciudadana reporta una lampara apagada y tambien da toques el poste, no tiene protector ni foco, y cables colgando, por la calle nevado de colima entre las calles av. de los apalaches y cerro agudo, fracc. villa bonita","nevado de colima","120",NULL,"80294","24.7502324","-107.38513239999997","NORMAL","ASIGNADO","2017-01-02 10:16:52"
"41237","1","2","ciudadana reporta sector apagado, ubicado en av. de la quebrada entre loma de san isidro y real del parque, en el fracc. san isidro seccion esmeralda.","av. de la quebrada","4522",NULL,"80197","24.760496","-107.3964977","NORMAL","ASIGNADO","2017-01-02 10:17:33"
"41238","3","14","ciududano reporta un hoyo en el medio de la calle de aproximadamente 70 cm de diametro y 30 cm de profundidad, por la calle cerrada de san luis entre republica de guatemala y calle san luis col nueva vizcaya","cerrada san luis","2507",NULL,,"24.8280394","-107.41835259999999","NORMAL","ASIGNADO","2017-01-02 10:24:53"
"41239","1","2","ciudadano reporta  10 lamparas siete que prenden y apagan y tres apagadas en la comunidad de ejido tierra y libertad dos, sind. de quila.","conocido",,NULL,,"24.806632","-107.394393","NORMAL","ASIGNADO","2017-01-02 10:49:25"
"41240","7","44","ciudadano solicita la limpieza de banqueta, ubicada por la calle economistas esquina con mariano aristas col burocrata","mariano ariztas","1212",NULL,"80030","24.806632","-107.394393","NORMAL","ASIGNADO","2017-01-02 10:56:55"
"41241","1","2","ciudadano reporta sector  apagado por la calle santa lucía y santa elena entre las calles santa catalina e isabela catolica, fracc. santa clara","santa lucia","4041",NULL,"80190","24.7695644","-107.43400350000002","NORMAL","ASIGNADO","2017-01-02 11:07:16"
