"id_tipo_servicio","id_servicio","nombre_tipo_servicio"
"1","1","INSTALACIÓN DE LAMPARAS"
"2","1","REPARACIÓN DE LAMPARAS"
"3","1","MANTENIMIENTO DE ARBOTANTES"
"4","1","INSTALACIÓN DE ARBOTANTES"
"6","2","RECOLECCIÓN DE BASURA"
"7","2","RETIRO DE ANIMALES MUERTOS"
"9","2","BARRIDO MECÁNICO"
"12","3","RASTREO DE CALLES"
"13","3","RASTREO Y LIMPIEZA DE CAMINOS"
"14","3","BACHES"
"15","3","RASTREO, RELLENO Y NIVELACIÓN "
"16","3","REVESTIMIENTO Y RASTREO DE CALLES Y CAMINOS DE SINDICATURA"
"17","3","DESAZOLVE  Y LIMPIEZA DE ARROYOS"
"18","0","APOYOS A ESCUELA Y CAMPOS DEPORTIVOS"
"19","3","RETIRO DE MATERIAL EN VÍA PUBLICA"
"20","3","REPARACIÓN DE EMPEDRADO"
"21","4","FUGAS DE AGUA"
"22","0","RECONEXIONES"
"23","0","CONTRATOS"
"24","0","INSPECCIONES "
"25","4","DRENAJE"
"26","0","CONTRATOS EN FRACCIONAMIENTOS"
"29","3","DESAZOLVE DE LAGUNAS"
"30","6","Verificacion de lotes"
"31","6","Verificacion de Casas Abandonadas"
"32","7","Limpieza de Parques"
"33","7","Despeje de Luminarias"
"34","7","Mantenimiento de Juegos Infantiles"
"35","8","Supervision de Obras en Construccion"
"36","8","Inconformidad de Vecinos"
"37","8","Supervision de Vendedores Ambulantes en Via Publica"
"38","8","Chequeo de Ganado Vago"
"39","9","Inspeccion de Carros Abandonados"
"40","9","Rondines policiacos"
"41","9","Inspeccion de Perros Bravos"
"42","3","DESASOLVE Y REPARACIÓN DE ALCANTARILLAS PLUVIALES"
"43","7","Retiro de Basura de Parques"
"44","7","Limpieza de Banquetas"
